Tstar,Ystar,kind
7.19468,0.55387,fs
7.28385,0.55446,fs
7.28574,0.04455,int
7.35538,0.56188,fs
7.35703,0.09135,int
7.44308,0.56931,fs
7.44505,0.13835,int
7.53077,0.57921,fs
7.53156,0.17598,int
7.60462,0.58168,fs
7.60594,0.21580,int
7.64470,0.55393,fs
7.68942,0.24357,int
7.69692,0.57921,fs
7.77017,0.06470,int
7.77720,0.27714,int
7.78231,0.57426,fs
7.83077,0.57426,fs
7.85167,0.31861,int
7.85308,0.10699,int
7.85372,0.04064,int
7.92590,0.14706,int
7.93931,0.34959,int
7.94045,0.07814,int
7.96692,0.58416,fs
8.01316,0.17525,int
8.01354,0.12125,int
8.02462,0.59406,fs
8.02698,0.38037,int
8.09692,0.20957,int
8.09846,0.59158,fs
8.10059,0.15476,int
8.10130,0.41321,int
8.17231,0.24257,int
8.18154,0.59653,fs
8.18834,0.46089,int
8.18902,0.18977,int
8.22769,0.58911,fs
8.25749,0.28183,int
8.25928,0.22803,int
8.27104,0.48604,int
8.27846,0.59901,fs
8.32923,0.59901,fs
8.34498,0.32272,int
8.34667,0.50703,int
8.34987,0.25320,int
8.41822,0.35813,int
8.43327,0.54455,int
8.43458,0.29487,int
8.45385,0.60891,fs
8.50542,0.38415,int
8.50749,0.32946,int
8.52308,0.60891,fs
8.57846,0.61386,fs
8.58836,0.41817,int
8.59607,0.36424,int
8.66675,0.45940,int
8.68000,0.59777,fs
8.68324,0.40210,int
8.68462,0.63119,fs
8.73538,0.61386,fs
8.75470,0.49459,int
8.75598,0.43956,int
8.83779,0.52000,int
8.84176,0.47552,int
8.85538,0.62871,fs
8.87846,0.63861,int
8.91164,0.55888,int
8.92761,0.50826,int
8.95692,0.62624,int
8.98923,0.62314,fs
8.99846,0.60396,fs
9.00342,0.53396,int
9.04462,0.64109,int
9.09013,0.57133,int
9.09077,0.62871,int
9.15538,0.64356,int
9.17615,0.59777,int
9.20385,0.64604,int
9.23154,0.64480,int
9.33538,0.64851,int
