kind,run,symbol,pixel_x,pixel_y
fs,aggregate,overlapping_filled_markers,320,199
fs,aggregate,overlapping_filled_markers,325,198
fs,aggregate,overlapping_filled_markers,330,197
fs,aggregate,overlapping_filled_markers,335,195.5
fs,aggregate,overlapping_filled_markers,340,193
fs,aggregate,overlapping_filled_markers,345,190
fs,aggregate,overlapping_filled_markers,350,185
fs,aggregate,overlapping_filled_markers,355,180
fs,aggregate,overlapping_filled_markers,360,176
fs,aggregate,overlapping_filled_markers,364,173
int,1,open_square,336,299
int,1,open_square,340,295
int,1,open_square,345,290
int,1,open_square,349,286
int,1,open_square,353,278
int,1,open_square,356,269
int,1,open_square,360,259
int,1,open_square,363,250
int,1,open_square,367,236
int,1,open_square,371,223
int,1,open_square,374,202
int,1,open_square,379,179
int,2,open_circle,340,299
int,2,open_circle,344,297
int,2,open_circle,348,293
int,2,open_circle,352,289
int,2,open_circle,356,283
int,2,open_circle,359,277
int,2,open_circle,363,271
int,2,open_circle,366,263
int,2,open_circle,370,253
int,2,open_circle,374,244
int,2,open_circle,377,229
int,2,open_circle,380,211
int,2,open_circle,384,192
int,3,open_diamond,349,299
int,3,open_diamond,353,296
int,3,open_diamond,357,293
int,3,open_diamond,361,289
int,3,open_diamond,365,283
int,3,open_diamond,369,277
int,3,open_diamond,373,269
int,3,open_diamond,377,254
int,3,open_diamond,383,233
int,3,open_diamond,387,216
int,3,open_diamond,392,189
