path,size,sha256,retained_copy,reason
_slugdbg.txt,81858,98ffb2773092c74a8b5f48019eaca3984ceeeb8ea83dcdb804758bd5cce5edc0,,unreferenced root temporary/debug artifact
_slugdbg2.txt,36606,8bc08f2e2f8ce3384c3ec6dde3fb9a446369bef1578cff4139f27cda0ec6df05,,unreferenced root temporary/debug artifact
_slugdbg3.txt,40566,621c81b270ecb94aae7babcef039fabea5407d604541362769b74de5330e8d5b,,unreferenced root temporary/debug artifact
_tmp_ab254.py,1025,a4f841b2d2c6f68c833be628767139d7ead2457cf9e31f38b54c1d2bdec753e8,,unreferenced root temporary/debug artifact
_tmp_bleed254.py,972,8c03d525dc5f96ecc2158f6b3f5153d4d45a6a838066fc259c9d371c448fcedb,,unreferenced root temporary/debug artifact
_tmp_bleed356.py,1005,dbeb21c980d44a3a58cec1cfd73ed0ffdf20a65b178f9cd8c5f957629ed92637,,unreferenced root temporary/debug artifact
_tmp_chk.py,1160,498d1d943109a2e3dc7420af4e9cc5d309f37b662edc129fd19529d65e2017b4,,unreferenced root temporary/debug artifact
_tmp_chk10.py,848,5c1797d2af4ef0b4daf6ef2dc76232fc9603e7d98d2188348c89c742dbb3ac52,,unreferenced root temporary/debug artifact
_tmp_chk2.py,883,7cbeb35f209ca7e4fc73e2bfb914c8e5092a0dc1c8c8303a60874cc3c3c91b98,,unreferenced root temporary/debug artifact
_tmp_chk3.py,435,1d52060fec3983976b1ff37457bf075545c7658d9fd0e42decb178317e64eeab,,unreferenced root temporary/debug artifact
_tmp_chk4.py,1388,6a9ed17060e57237e1efbedae6c1ea6cf5ad0892378f4f8d5c2031b279242aed,,unreferenced root temporary/debug artifact
_tmp_chk5.py,1373,979bf28120189ded0828457a0dccb3eb98d8f01b9aaf724dc6595f10f195700a,,unreferenced root temporary/debug artifact
_tmp_chk6.py,1230,168698706fd2f1cc939493b934ae0d0a009a04efcd7743445ee2e06b9cde454d,,unreferenced root temporary/debug artifact
_tmp_chk7.py,1223,f92bdf18366fa612d4ea7266999ac3f057cda195d4cef9a8579f880f545099ac,,unreferenced root temporary/debug artifact
_tmp_chk8.py,945,be084c1d771fe639989a10c54d66f7a0fc80be0de8f48407da049dd2f3919bcf,,unreferenced root temporary/debug artifact
_tmp_chk9.py,1150,5fee1b3f096b47a71df9c4064189d3d0c533aef7e9c0002c18a5d8eeeb2d6c56,,unreferenced root temporary/debug artifact
_tmp_drift.py,756,15e0171037c92ae4c01836e8c45bc1812c3011a4d5cdd98f784f3742f4700cc4,,unreferenced root temporary/debug artifact
_tmp_hydraulics.py,1455,4ca05ad6df429d30445bc989c6180c53e60004d6c7982374e3e209c64de5be93,,unreferenced root temporary/debug artifact
_tmp_liu1.py,1111,daf3bef95ec40e31f2ed000eb27750b4253740e83f8ae977b1c06c023c9e49d0,,unreferenced root temporary/debug artifact
_tmp_liu2.py,728,94b40866fe67c7e6ba8e062cfc5a479f3855933424185d03b6b375c67c3e26e6,,unreferenced root temporary/debug artifact
_tmp_liu3.py,853,67d775d2e54c530e9ff79314c46d057ab5b0b0745df82fc2f660883e7a76a2f4,,unreferenced root temporary/debug artifact
_tmp_liu4.py,344,7574e41e5fe2681523aeb6d0b1ab71b0fdb50bea01d78d9c7459615ab1722670,,unreferenced root temporary/debug artifact
_tmp_liu5.py,615,c2e254c9d04ba122127894e1d048a4c774676794b9cacf46bd4758c38b403c73,,unreferenced root temporary/debug artifact
_tmp_liu60.py,679,e9c508a7200f6e2f7d0b8d82426b798fde0f08b001773c4c4eb6ad36e1f3be7a,,unreferenced root temporary/debug artifact
_tmp_liucrop.py,492,1ef2dbdca523c8022d395138c778898a848b68cdc336c34ffc6fa3ba1152165e,,unreferenced root temporary/debug artifact
_tmp_liuprof.py,701,07ee213e29f896c8fb6ae49f53dd5287498c3b69851a28d1ec02e9bd8cbc0273,,unreferenced root temporary/debug artifact
_tmp_pipe1.py,1579,d6b2e638e38ec721cd0003c0e14c274c30d3416efb37ab65ed1f252b36034ab7,,unreferenced root temporary/debug artifact
_tmp_probe2.py,831,81f5f245adf3522c40852070bda03f92e58f228f3e99b24c0359839f8fe9e56d,,unreferenced root temporary/debug artifact
_tmp_probe3.py,819,2755fb67d56c41ad4d046a295354436836c57f8a581a8f81bd669f9225884ae0,,unreferenced root temporary/debug artifact
_tmp_probe_sl.py,1106,2a51eaa13441f09c0cfe1ddf9c823f1c18e1774d93b75fc69710b7828d25f9ac,,unreferenced root temporary/debug artifact
_tmp_which.py,368,179f1c19b03b67bfd8c3e9aabb9167763be8d8ece33f5c2f379cb8269bff929d,,unreferenced root temporary/debug artifact
_tmp_zoom.png,37188,0a64d019bdf400c630610f8d704e6fc8379d87405ffd4ba568c07bf87e22f102,,unreferenced root temporary/debug artifact
_tmp_zoomj.py,565,91b97e68ad18029919e690f156b8db5b112dd641b6b63757a8293bfced254081,,unreferenced root temporary/debug artifact
paper/zh/_t1_out.txt,6492,80cdbdcaa06f16bf6d297929521999c30367e2e05ce5126976f16223ea4896fd,,temporary XeLaTeX smoke-test transcript
paper/zh/_t2_out.txt,23052,b36a88fa9a72f512cde4a4e0d9e012ba4d02ebbace40aaa4087637de46c84904,,temporary XeLaTeX smoke-test transcript
tests/test_01_vw2011/cases/B_Dt12p7_Ha0610_Yfs0356/_caseA_unified_check/__pycache__/caseA_digitize_and_compare.cpython-312.pyc,41739,d13cd4914beebcb69c9c2f1f3490aaf1ea88974b745753f9f496af648502db55,,temporary cross-Case solver compatibility check
tests/test_01_vw2011/cases/B_Dt12p7_Ha0610_Yfs0356/_caseA_unified_check/__pycache__/run_caseA_with_caseB_solver.cpython-312.pyc,3759,50bbc3dc0519804ae6e76c44d031d11ff357825b510fb00d0c5b97bb47acc93c,,temporary cross-Case solver compatibility check
tests/test_01_vw2011/cases/B_Dt12p7_Ha0610_Yfs0356/_caseA_unified_check/caseA_digitize_and_compare.py,31655,0cc5bcbd6b427acbcb6b78e95778e57306608eacc765578672b39956d77d8e69,,temporary cross-Case solver compatibility check
tests/test_01_vw2011/cases/B_Dt12p7_Ha0610_Yfs0356/_caseA_unified_check/out.txt,838,02da10286870b9ef5bbd1275b0d035ea5ec7815f83a835916d8afeb9065c66dc,,temporary cross-Case solver compatibility check
tests/test_01_vw2011/cases/B_Dt12p7_Ha0610_Yfs0356/_caseA_unified_check/run_caseA_with_caseB_solver.py,2117,7ee4b1929455176746b778f323edfd4883a743b9160b3f3903d473776ea2668c,,temporary cross-Case solver compatibility check
